imdb_id,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,certification
0,,,,,,,,,,,,,,,,,,,,,,,,,
tt0015414,0.0,,,0.0,"[{'id': 18, 'name': 'Drama'}]",,607290.0,es,La tierra de los toros,,0.6000000000000001,,"[{'id': 77948, 'logo_path': None, 'name': 'Musidora Films', 'origin_country': ''}]","[{'iso_3166_1': 'ES', 'name': 'Spain'}]",1924-01-01,0.0,53.0,"[{'english_name': 'No Language', 'iso_639_1': 'xx', 'name': 'No Language'}]",Released,,The Land of the Bulls,0.0,0.0,0.0,
tt0113026,0.0,/vMFs7nw6P0bIV1jDsQpxAieAVnH.jpg,,10000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",,62127.0,en,The Fantasticks,Two rural teens sing and dance their way through a forbidden romance and a dangerous travelling carnival.,3.081,/hfO64mXz3DgUxkBVU7no2UWRP7x.jpg,"[{'id': 51207, 'logo_path': None, 'name': 'Sullivan Street Productions', 'origin_country': ''}, {'id': 51208, 'logo_path': None, 'name': 'Michael Ritchie Productions', 'origin_country': ''}, {'id': 51209, 'logo_path': None, 'name': 'Radmin Company, The', 'origin_country': ''}, {'id': 60, 'logo_path': '/1SEj4nyG3JPBSKBbFhtdcHRaIF9.png', 'name': 'United Artists', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2000-09-22,0.0,86.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Try to remember the first time magic happened,The Fantasticks,0.0,5.5,22.0,
tt0113086,0.0,,,0.0,[],,612666.0,en,Florentino y el diablo,"Florentino is a young horseman and singer, a free spirit living in the open world without restrictions, in the Venezuelan plains. He confronts the devil in a duel of improvised verses. As time passes, these unspoilt plains start to change. Through Florentino's voice and actions, the plains cannot be conquered. Its culture defies the devil in the eternal fight between good and evil, between life and death.",0.6000000000000001,/zW9sdYuhl36BkRUZJyMfy3Q645I.jpg,[],[],2000-04-29,0.0,90.0,[],Released,,Florentino y el diablo,0.0,5.0,1.0,
tt0113092,0.0,,,0.0,"[{'id': 878, 'name': 'Science Fiction'}]",,110977.0,en,For the Cause,Earth is in a state of constant war and two colonies of humans have been sent to a far away world. The colonists create a new civilization but have inherited the worst traits of their forebears and war breaks out leaving the new cities in ruins. It falls to a bunch of teens to bring peace to the colony - but will they?,2.099,/h9bWO13nWRGZJo4XVPiElXyrRMU.jpg,"[{'id': 7405, 'logo_path': '/rfnws0uY8rsNAsrLbx3gEIcYXx3.png', 'name': 'Dimension Films', 'origin_country': 'US'}, {'id': 12816, 'logo_path': None, 'name': 'Grand Design Entertainment', 'origin_country': ''}, {'id': 9077, 'logo_path': None, 'name': 'Martien Holdings A.V.V.', 'origin_country': ''}, {'id': 925, 'logo_path': '/dIb9hjXNOkgxu4kBWdIdK8nM4w.png', 'name': 'Nu Image', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2000-11-15,0.0,100.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,The ultimate showdown on a forbidden planet.,For the Cause,0.0,5.1,8.0,
tt0116391,0.0,,,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]",,442869.0,hi,Gang,"After falling prey to underworld, four friends jeopardise their personal lives with point of no return.",0.8240000000000001,/yB5wRu4uyXXwZA3PEj8cITu0xt3.jpg,[],"[{'iso_3166_1': 'IN', 'name': 'India'}]",2000-04-14,0.0,152.0,"[{'english_name': 'Hindi', 'iso_639_1': 'hi', 'name': 'हिन्दी'}]",Released,,Gang,0.0,4.0,1.0,
tt0116748,0.0,/wr0hTHwkYIRC82MwNbhOvqrw27N.jpg,,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,579396.0,hi,Karobaar,"Wealthy Rajiv Sinha and middle-classed Amar Saxena are two childhood friends, with similar likes, and tastes. Their similar habits lead them to being in love with the same woman - Seema, who loves Amar, and is willing to marry him no matter what. Rajiv attempts to offer money to Sapna's guardian so that he can marry her, in vain though. When Rajiv attempts to convince Amar that Sapna is being brought up by a prostitute by the name of Ratnabai, Amar is adamant, and marries Sapna, and takes her home to his brother and his family, where they are not welcomed, and asked to leave. Rajiv and Amar stop seeing each other, and regard each other as bitter enemies. Amar and Seema manage to exist, with Amar going on to become a successful prosecution attorney. Then they get the news that Rajiv has been charged with killing a young woman named Neelam Mehta. Amar is delighted for he will be given a chance to teach Rajiv a lesson, and possibly sentence him to death.",0.921,/wFSOXXrJklY2ngjIJCus9c2DfJW.jpg,[],[],2000-09-15,0.0,180.0,"[{'english_name': 'Hindi', 'iso_639_1': 'hi', 'name': 'हिन्दी'}]",Released,The Business of Love,Karobaar,0.0,5.5,2.0,
tt0118694,0.0,/n4GJFGzsc7NinI1VeGDXIcQjtU2.jpg,,150000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,843.0,cn,花樣年華,Two neighbors become intimate after discovering that their spouses are having an affair with one another.,23.46,/iYypPT4bhqXfq1b6EnmxvRt6b2Y.jpg,"[{'id': 539, 'logo_path': '/iPLtePguIzOPNtAWfTxWLXb2O11.png', 'name': 'Block 2 Pictures', 'origin_country': 'HK'}, {'id': 148854, 'logo_path': None, 'name': 'Orly Films', 'origin_country': ''}, {'id': 26492, 'logo_path': None, 'name': 'Jet Tone Films', 'origin_country': 'HK'}, {'id': 255, 'logo_path': None, 'name': 'Paradis Films', 'origin_country': 'FR'}, {'id': 1615, 'logo_path': None, 'name': 'Fortissimo Films', 'origin_country': 'NL'}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'HK', 'name': 'Hong Kong'}, {'iso_3166_1': 'NL', 'name': 'Netherlands'}]",2000-09-29,12854953.0,99.0,"[{'english_name': 'Cantonese', 'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}, {'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,"Feel the heat, keep the feeling burning, let the sensation explode.",In the Mood for Love,0.0,8.109,2163.0,PG
tt0118852,0.0,/vceiGZ3uavAEHlTA7v0GjQsGVKe.jpg,,0.0,"[{'id': 18, 'name': 'Drama'}]",,49511.0,en,Chinese Coffee,"When Harry Levine, an aging, unsuccessful Greenwich Village writer is fired from his job as restaurant doorman, he calls on friend and mentor Jake, ostensibly to collect a long-standing debt.",5.749,/nZGWnSuf1FIuzyEuMRZHHZWViAp.jpg,"[{'id': 67930, 'logo_path': None, 'name': 'Chal Productions', 'origin_country': ''}, {'id': 1596, 'logo_path': None, 'name': 'Shooting Gallery', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2000-09-02,0.0,99.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,There's a fine line between friendship and betrayal.,Chinese Coffee,0.0,6.8,49.0,R
tt0118911,0.0,,,0.0,"[{'id': 18, 'name': 'Drama'}]",,291822.0,de,Fandango - Members Only,,0.6000000000000001,,"[{'id': 1704, 'logo_path': '/sb3PuMTgJgpPUY7x634etBAhodu.png', 'name': 'Bavaria Film', 'origin_country': 'DE'}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}]",2000-11-30,0.0,0.0,[],Released,,Fandango - Members Only,0.0,5.5,2.0,
tt0119027,0.0,,,0.0,"[{'id': 35, 'name': 'Comedy'}]",,348662.0,en,Dumped!,"This romantic comedy satires the well-known dating manual ""The Rules"". The story follows Laura and Will, a couple to whom the word ""commitment"" isn't possible. Laura and her best friend Heather, use what they think to be the blueprint for a happy relationship, but to their dismay all plans backfire confusing the couple even more.",0.6990000000000001,,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2000-12-26,0.0,82.0,[],Released,,Dumped!,0.0,2.0,1.0,R
tt0119273,0.0,/f5C03doOWiauu37bToKXtpgP5bS.jpg,"{'id': 141086, 'name': 'Heavy Metal Collection', 'poster_path': '/tgPpYcsjSo1DK0wublqYItYDwSW.jpg', 'backdrop_path': '/iao9hIahX41T1Lxpa5h62J28rQF.jpg'}",15000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",,16225.0,en,Heavy Metal 2000,"Upon discovery of a shard of what could be the Loc-Nar, a miner named Tyler becomes possessed with an insatiable hunger for power and a thirst for immortality. On his way to the planet of youth, Tyler wipes out most of a space colony and kidnaps a beautiful young woman. His only mistake is that he doesn't kill her sister, Julie, who then sets out on a mission of rescue and revenge.",13.333,/mzOgKYOXiuwE5DIfagFs34bOb3J.jpg,"[{'id': 2216, 'logo_path': None, 'name': 'Helkon Media', 'origin_country': 'DE'}, {'id': 91006, 'logo_path': None, 'name': 'Das Werk Productions', 'origin_country': ''}, {'id': 5, 'logo_path': '/lieeAioEBVsgsoDT9HICrdt5iRa.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}, {'id': 4172, 'logo_path': '/vb2gE5Ao9wIfj3XlY8CwwwbnAlh.png', 'name': 'CinéGroupe', 'origin_country': 'CA'}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'DE', 'name': 'Germany'}]",2000-04-19,0.0,88.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,not to survive the fight in the external world without inner strength,Heavy Metal 2000,0.0,6.0,177.0,R
tt0119495,0.0,,,0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",,51181.0,en,Love 101,Study hard.,0.6000000000000001,/42dUuv3lVaJe7wubwJhorWul3HI.jpg,[],[],2000-08-24,0.0,86.0,[],Released,,Love 101,0.0,0.0,0.0,R
tt0119806,0.0,,,0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",,85920.0,en,Nothing Sacred,"Three longtime pals live in San Francisco: Darin is married to Natalie, but their family life is too still and Darin is not happy about it, Matt is ladies' magnet but tired of it, trying to get something stable from his relationships, and goofy Kevin doesn't have any success with women at all. Darin starts an affair with his friend's wife Maxine and Matt falls deeply in love with a woman he has seen once.",1.341,/zunFOl8mNIICL4I9A0gvgOcxVhE.jpg,[],[],2000-11-09,0.0,98.0,[],Released,,Nothing Sacred,0.0,0.0,0.0,
tt0119866,0.0,,,0.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",,345792.0,fr,Passionnément,"On the island of Porquerolles, Alice spies on Bernard, a man who has returned to France after living in Brazil for some years. The two had once been lovers, and Alice's obsession with Bernard -- which apparently didn't wane during their time apart -- sets in motion a string of events culminating with the aforementioned car crash. Dysfunction abounds.",0.6000000000000001,/fkL2ejKu8QcPu8TYcU8vyo7cIE1.jpg,[],[],2000-05-31,0.0,100.0,"[{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",Released,,Passionnément,0.0,5.0,1.0,
tt0120117,0.0,,,0.0,"[{'id': 53, 'name': 'Thriller'}]",,407312.0,hi,शिकारी,"Virendra (Nirmal Pandey) is a business tycoon in Cape Town, South Africa.  His sister Rajeshwari (Karishma Kapoor), wife Suman (Tabu) and his mother are his only relatives. Virendra's marital life is in apparent discord, since he has never had any relations with Suman. One day, Virendra gets a rival in business world in form of Mahendra Pratap Singh (Govinda). Mahendra is an Indian spice tycoon wanting to expand his business in South Africa.",1.251,/lb6T6kdbl4gvncgtt7ojtUSrpXj.jpg,[],"[{'iso_3166_1': 'ZA', 'name': 'South Africa'}, {'iso_3166_1': 'IN', 'name': 'India'}]",2000-10-06,0.0,156.0,"[{'english_name': 'Hindi', 'iso_639_1': 'hi', 'name': 'हिन्दी'}]",Released,,Shikari,0.0,3.667,3.0,
